ARLAEJO1187B98DB85, FU-Schnickens, SONFOEG12A8C13B8B8, True Fuschnick, -9.093, 101.871, 0.591, 0.289, 7
ARE26EG1187B990AEF, Sunscreem, SOICLQB12A8C13637C, Exodus, -8.955, 130.201, 0.625, 0.558, 5
AR91DZT1187FB4C599, Frost, SOTZIPQ12AB01803AA, My Plastic Heart Plastic Operator Remix, -12.624, 126.946, 0.954, 0.726, 2
ARHUC691187B9AD27F, The Mars Volta, SOFDYGC12A6D4F9059, Inertiatic Esp, -3.952, 112.486, 0.501, 0.612, 2
AR0O3AV1187FB4D030, Agnostic Front, SOPWWAV12A8C13A825, Sickness, -3.565, 151.184, 0.282, 0.322, 0
ARS0W831187B9AF0B7, Maximilian Hecker, SOFWWIA12AB01884A1, Sleepy Lad, -14.689, 77.006, 0.897, 0.79, 3
ARBJC9U1187B9A70AC, Kitty Kallen, SOQPFGN12A8C13C1B3, Mother_ Mother_ Mother_ Pin A Rose On Me, -14.281, 121.56, 0.455, 0.673, 2
ARI28VJ1187FB4EAD7, Slackbaba, SOCWFVT12AB01890F8, Sea of Green, -7.016, 88.644, 0.67, 0.459, 4
ARA8O8L1187B9AD61D, Professor Longhair, SOBPMLZ12AB01819E3, Hey Little Girl 1949, -10.333, 113.445, 0.503, 0.523, 2
ARZVTZN1187FB579D4, Jim Reeves, SOWVTAJ12A8C13C6D5, Jingle Bells, -13.323, 95.264, 0.424, 0.459, 4
ARHCZHQ12086C11407, Henri Rene And His Orchestra, SOTSKKZ12A6D4F71C4, Petite Fleur Instrumental 1996 Digital Remaster, -16.797, 112.911, 0.138, 0.34, 7
AR9W3X91187FB3994C, Phil Collins, SOBPTED12A6D4F99C7, "You Cant Hurry Love Live", -9.79, 206.941, 0.237, 0.351, 6
AR0JPOG1187FB37383, Lyrics Born, SOYJHEW12A8C133A40, I Changed My Mind DJ Spinna Remix, -3.528, 98.927, 0.533, 0.294, 7
AR0S0EO1187FB490BE, Disco D feat. Lola Damone & Helluva, SOPYMLY12AC3DF67AE, "Keys To The Whip Straight Pimpin Mix", -7.765, 152.34, 0.052, 0.38, 0
ARQ76LG1187B9ACD84, Black Flag, SOOFHUH12A8C1340A5, Out Of This World, -13.77, 207.238, 0.577, 0.503, 6
ARODOO01187FB44F4A, The Baltimore Consort, SOWCJPI12AAF3B229C, Howell\x19s Delight, -17.271, 123.784, 0.646, 0.766, 2
ARXJSHW1187B9A2A52, Nestor Torres, SOLDLRC12AC907269F, This Side Of Paradise, -8.034, 195.995, 0.667, 0.476, 1
ARUGU0E1187B9B30F6, The Doors, SOJTAWE12A6D4F8EAC, The Trial_ Were You Scared? [The Lost Interview Tapes - Volume Two] LP Version, -27.685, 66.155, 0.214, 0.227, 3
AR23MLO119B8668CDA, Jaco & Mixxmaster, SOLXIWW12AC468805A, Feeling, -5.639, 136.981, 1.0, 0.829, 5
AR3AIEI1187B992D8D, Marilyn Horne, SOPZACG12A6D4F9271, "Rinaldo : Act 1 ""Cor ingrato_ ti rammembri"" [Rinaldo]", -23.593, 47.97, 0.44, 0.536, 8
AR5ZVJ91187B99083A, Soulwax, SOHKLFL12A6D4FA150, Kill Your Darlings, -8.146, 111.223, 0.536, 0.441, 7
ARP7ILI1187B9AE9F7, Phantom Planet, SOWLJJD12AF729D3F5, Here I Am, -9.628, 105.902, 0.554, 0.526, 7
AR6JVK31187FB58FE3, Eiffel 65, SODDBHT12AB0186B6E, Blue [Da Ba Dee] [Gabry Ponte vs. HiFi Blueprint Remix], -5.286, 130.039, 0.001, 0.083, 5
ARXB7B21187B98BEF0, Marisela, SOTNLYM12AB0181695, La Otra, -9.467, 134.192, 0.736, 0.689, 5
ARKCYJV1187FB392E9, Set Your Goals, SOKPTHW12AB018AB51, This Very Moment, -6.754, 131.639, 0.683, 0.528, 5
ARCZ20M1187FB49687, Tony Joe White, SOPUCKL12A6D4FB5A6, The Coloness Of The Chain, -17.816, 139.905, 0.078, 0.516, 5
ARRWDU31187B9B5656, Jimmy McCracklin, SOERGHR12AAF3B2A52, Gotta Cut Out, -8.441, 101.241, 0.397, 0.161, 7
ARYSHL01187B9AAEC7, Hysterie, SOQMALF12AAF3B4144, Be my Lover, -7.224, 131.986, 0.249, 0.445, 5
ARWX7AO1187B9B91AA, Jose Luis Perales, SORWORW12A6D4FBBE2, No Soy Uno M\xc3\xa1s, -6.025, 136.478, 0.372, 0.469, 5
ARZIKR01187B98DF08, Joe Grushecky, SOISJLZ12AC3DF6DE7, Firewater, -5.747, 136.326, 0.421, 0.334, 5
ARBB58Y1187B9B621B, Bill & Gloria Gaither, SOMDWZC12A8C13A065, "Ill Meet You By The River Southern Convention Songs Version", -12.098, 42.797, 0.365, 0.4, 8
AR1PCLK1187FB5BBFF, Angelo Badalamenti / Keira Knightley, SONWLUL12A8C13AEEE, Overture/Blue Tahitian Moon, -10.462, 123.797, 0.459, 0.546, 2
ARKFYS91187B98E58F, Jeff And Sheri Easter, SOFZGIT12A58A7CD2D, Loving By Heart, -4.881, 119.983, 0.799, 0.72, 2
ARLAWDD1187FB48367, Carlos Vives, SOURXDF12AB0180C6C, Cancion De Amor Eterno, -17.548, 132.358, 0.19, 0.313, 5
ARMHR011187B9A62B5, Joe Bataan, SOYTIWN12A6D4FBA37, Ernestine, -11.574, 87.467, 0.613, 0.553, 4
ARQVLQJ1187B98F11F, Mau Mau, SOLWGCZ12A6D4FA8F3, Finisterre Live, -13.297, 107.983, 0.687, 0.448, 7
ARO2PB81187B98EB4A, Lari White, SODKKPS12AB018397C, The One Who Lives Inside Your Heart, -13.805, 137.002, 0.722, 0.633, 5
AROC6N61187FB40B14, Steven Halpern, SOIWQSF12AC468C3CD, Natural Light Subliminal Self-Help, -31.346, 134.538, 0.4, 0.56, 5
ARSG7NQ1187FB57482, Fall Out Boy, SODWYJZ12AB018240F, "Americas Suitehearts", -4.469, 160.109, 0.439, 0.524, 9
ARBKMHZ11F4C843491, Dakis, SOVBBUZ12A8C137B2D, Tsai Me Lemoni 2005 Digital Remaster, -5.554, 109.08, 0.586, 0.548, 7
AR7CCCC1187FB578FF, Don Gibson, SOPFIWM12AB0186A0D, Prayer Is The Key To Heaven Faith Unlocks The Door, -15.854, 81.832, 0.624, 0.58, 4
ARJXZX41187B9B6A43, Dream Warriors, SOAEGFO12A6D4F87AA, Sound Clash featuring Beenie Man - FattaSly Extended Mix, -8.164, 106.821, 0.005, 0.0, 7
ARK7ZPW1187B99C170, Maria Callas/Gianni Raimondi/Gabriella Carturan/Plinio Clabassi/Nicola Rossi-Lemeni/Coro del Teatro alla Scala_ Milano/Noberto Mola/Orchestra del Teatro alla Scala_ Milano/Gianandrea Gavazzeni, SOAMZKG12A8C13797C, Anna Bolena 1997 Digital Remaster: Alcun potria ascoltarti, -14.447, 111.643, 0.688, 0.691, 7
ARUVPZF1187FB4880D, Charlie Louvin, SOEKBBG12AB017E5D7, See The Big Man Cry, -13.816, 130.231, 0.058, 0.3, 5
ARAZCWP129462A97F1, Bob Marley & The Wailers, SOPIFJT12A81C221AC, Three Little Birds, -8.959, 148.684, 0.33, 0.382, 0
ARD842G1187B997376, Blue Rodeo, SOFGAJF12A8C141DA3, Fools Like You, -6.033, 126.1, 0.345, 0.588, 2
ARPDVPJ1187B9ADBE9, Usher Featuring The Nu Beginning, SOSIANM12AB018CC80, Only Human, -11.215, 118.099, 0.167, 0.366, 2
AR6BUE51187B9B5D71, Markus, SOCJGSX12AAF3B4DA9, Du machst mich irgendwann verr\xc3\xbcckt, -4.771, 130.023, 0.513, 0.476, 5
ARC8CQZ1187B98DECA, Jack Johnson, SOPZHFK12A8C135493, Adrift, -15.967, 241.818, 1.0, 0.963, 6
ARXFY0N11C8A423D05, Juan Farcik, SOKJMKB12AB0189C12, Sunday Cream, -8.16, 124.969, 0.097, 0.0, 2
ARDY3451187B9A0226, Skeeter Davis, SOSAEZB12AB018DADE, My Last Date With You, -12.439, 102.117, 1.0, 0.947, 7
AR08DYV1187B99A0D7, Reach 454, SOFQVFL12A6701F8DC, 6 Yrs Album Version , -2.76, 95.953, 0.012, 0.397, 4
AR6KK741187B98C9E9, Roy Brown, SOVASWH12A8C13E3CE, Good Rocking Tonight, -15.525, 157.087, 0.602, 0.361, 0
ARF3GX71187FB3EB66, Martina McBride, SONEGFT12A8C142567, Heart Trouble, -7.958, 175.954, 0.002, 0.063, 9
ARU9KWP1187B98B2A7, Busdriver, SOGWPDK12A81C2242F, Unemployed Black Astronaut, -5.281, 123.998, 0.901, 0.827, 2
ARYKF861187B99C74B, Pery Ribeiro, SOQXARY12A8C13F68C, Piano E Viola, -11.131, 87.61, 1.0, 0.774, 4
ARW071B1187B9A603C, Unwritten Law, SOGPIOY12A58A7F7AD, Save Me Rolling Stone Original Version, -12.256, 80.472, 0.631, 0.589, 4
AR2K2CM1187B98D4F1, Fran Perea, SOPAHBW12A6D4F7638, Entonces, -3.39, 90.645, 0.215, 0.359, 4
AR95CRV1187B9AFD6D, Pedro Luis e a Parede, SOGRTXS12AB017CCFC, Soul, -6.032, 159.134, 0.707, 0.616, 9
ARBEOHF1187B9B044D, Madonna, SOULPEW12A8C13E4F7, 4 Minutes [Featuring Justin Timberlake And Timbaland] [Junkie XL Remix Edit], -3.629, 127.999, 0.334, 0.333, 5
ARH0Z131187B9B69E9, Kool Moe Dee, SOVXKMW12A8C1414C1, Death Blow, -8.74, 107.022, 0.042, 0.529, 7
ARSS4Y41187B9B0AC6, Bobaflex, SOEOYBN12A6D4F9E2C, Turn The Heat Up, -3.124, 93.033, 0.005, 0.18, 4
AR3FE581187FB3F90A, DJ Clue / Fabolous Sport, SOICMNM12A6D4F89C3, If They Want It, -8.649, 193.919, 0.411, 0.435, 1
ARNBIUE1187FB3E846, Benga, SOAPDWC12AC468BB3B, The Future, -8.525, 87.468, 0.015, 0.336, 4
AR1OBRC1187FB59AD4, Behemoth, SOYSZGR12A8C14015C, Cursed Angel Of Doom Previously Unreleased&Re-Recorded Track, -4.905, 139.115, 0.073, 0.432, 5
ARC8CQZ1187B98DECA, Jack Johnson, SONJNMA12A6701DFDE, Inaudible Melodies, -15.218, 147.602, 0.559, 0.251, 0
ARALP6I1187B989E27, The Shirelles, SOEYALK12A8C143123, Foolish Little Girl, -11.49, 116.764, 0.696, 0.588, 2
AR1DR0E1187FB48F61, Kathy Mattea, SOPMXHY12A6D4F7DBC, Isle Of Inishmore - Part 1 Air, -14.479, 79.091, 0.019, 0.504, 3
ARFCOGY1187FB454B4, The Winans, SOVGYIW12AB018186F, Breaking Of Day Album Version, -10.961, 106.515, 0.625, 0.545, 7
ARXGWZP11F4C83C075, Leon Lai, SOOYMFA12AB017E3C1, Yi Ba Xiang Shui Yin, -4.824, 86.005, 0.422, 0.481, 4
ARTZMXB1187B990A55, Streetwize, SOVTIJE12AB017F8D9, "U Dont Have To Call", -7.819, 101.311, 0.51, 0.486, 7
AR8WHEJ1187B98CDCA, Dee Clark, SOCLHLD12A6701E65B, Leroy Bown, -12.995, 148.341, 0.581, 0.451, 0
ARSCJQW1187B9B3523, Hoods, SOSINEG12A58A7D528, Heartless, -4.507, 60.308, 0.348, 0.558, 3
ARC39PE1187B9B2C01, Bingo Players, SOIPZVD12AB0186501, Get Up Diplo Mix, -5.788, 128.013, 0.44, 0.398, 5
ARAI2ZO1187B9A0536, Catupecu Machu, SOOTJIQ12A8C1368B9, A Veces Vuelvo, -4.768, 126.992, 0.717, 0.592, 2
ARNMWP51187FB3E963, Curtis Mayfield, SOSTESB12A6D4F9A66, You Better Stop, -9.633, 237.466, 0.381, 0.396, 6
ARB45GQ1187B98D2B4, DeGarmo & Key, SOGMSIS12A58A7C45D, Jericho  Straight On Album Version, -9.799, 132.786, 0.652, 0.614, 5
ARAO0RA1187FB587F2, My Little Airport, SOFFUHF12AC4689476, Leo_ Are You Still Jumping Out Of Windows In Expensive Clothes?, -9.361, 92.975, 0.01, 0.201, 4
AR7BMMV1187FB5B2D7, Robben Ford, SOCKRKE12AB018DD02, Talk To Your Daughter Album Version, -12.685, 137.23, 0.67, 0.63, 5
AR2BG0R1187FB398C3, Dax Riggs, SOXVFFI12AF72A1065, "Didnt Know Yet What Id Know When I Was Bleedin", -6.34, 75.452, 0.566, 0.487, 3
ARJJ8I01187FB4CE98, Jos\xc3\xa9lito, SOYWNEA12AB018826D, Soleil rouge, -12.538, 116.618, 0.317, 0.476, 2
ARCHKD91187B9A0A42, The Ronettes, SOSAQJU12AC90755D2, Born To Be Together, -9.54, 114.047, 0.797, 0.709, 2
ARWPYQI1187FB4D55A, Rick Astley, SOFFOFH12A8AE45129, Hopelessly, -10.612, 150.112, 0.626, 0.453, 0
